"","id","nc","c1.x","c1.y","c2.x","c2.y","c3.x","c3.y","c4.x","c4.y","c5.x","c5.y","dc.km.1_2","dc.km.1_3","dc.km.1_4","dc.km.1_5","dc.km.2_3","dc.km.2_4","dc.km.2_5","dc.km.3_4","dc.km.3_5","dc.km.4_5","o.1_2","o.1_3","o.1_4","o.1_5","o.2_3","o.2_4","o.2_5","o.3_4","o.3_5","o.4_5","p.1_2","p.1_3","p.1_4","p.1_5","p.2_3","p.2_4","p.2_5","p.3_4","p.3_5","p.4_5","dur1.td","dur2.td","dur3.td","dur4.td","dur5.td"
"42","year1.C2003we","2",747305.514248955,4764929.08321886,745062.063581973,4764054.03686485,NA,NA,NA,NA,NA,NA,2.4080649943138,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00171327345034306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.156944444444,151.243055555556,NA,NA,NA
"43","year1.C2012we","3",705470.589330246,4769406.98554505,708551.618869327,4782665.65021539,698723.417495726,4779457.69354889,NA,NA,NA,NA,13.6119407823133,12.105414455647,NA,NA,10.3384973866707,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5.49930555555556,316.749305555556,40.6256944444444,NA,NA
"44","year1.C2020we","3",700193.703013683,4768074.32926111,701215.609140789,4768120.04007571,701615.823030558,4766963.60576337,NA,NA,NA,NA,1.02292795992069,1.80447555562274,NA,NA,1.22372851413797,NA,NA,NA,NA,NA,0.00226735985919651,0.000211485736990931,NA,NA,0.00531010936716312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.2506944444444,76.3777777777778,61.6166666666667,NA,NA
"45","year1.C2024we","2",742811.817791658,4764063.69081417,741996.435066573,4765253.42369015,NA,NA,NA,NA,NA,NA,1.44232912490399,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01803913265336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.8361111111111,171.05625,NA,NA,NA
"46","year1.C2033we","2",725754.178715393,4755285.05106275,725060.71205364,4686058.62310801,NA,NA,NA,NA,NA,NA,69.2299012232759,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.248611111111,233.127083333333,NA,NA,NA
"47","year1.C2034we","5",709794.777226704,4776909.06934982,712667.017578879,4777773.14139764,711286.723041214,4781286.01112419,711790.493176585,4773836.85519166,715346.75200719,4766184.55122458,2.999397463573,4.62423200214836,3.66352043616018,12.0764114281394,3.77431672312191,4.03269687965171,11.8943851797972,7.46617093672394,15.6377084735623,8.43828968896634,0.000543022079678015,4.36400169280437e-05,0.000410807123621094,NA,0.00121522271188378,9.4356669582863e-05,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,102.582638888889,70.3777777777778,45.1194444444444,26.5805555555556,1.625
"48","year1.C2046oe","4",745325.633129171,4776420.71239996,746273.174416565,4776562.36449336,744825.836677311,4775547.89185023,745835.760216576,4775258.80259198,NA,NA,0.95807087779648,1.00578934440697,1.26896179895216,NA,1.76746747498334,1.37499265928678,NA,1.0504847235443,NA,NA,0.0061209478057303,0.0130461775260824,0.00215882362936631,NA,0,0,NA,0.00742675113803827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.1979166666667,32.4256944444444,52.3909722222222,66.1104166666667,NA
"49","year1.C2061gn","5",745320.922354286,4776702.06871209,744891.875684855,4775642.49413231,745817.858215984,4775330.40989379,746326.758770342,4776311.81957178,746344.339684848,4777324.27012199,1.14314449422332,1.45890135529161,1.0788889133618,1.19771349953857,0.977159260247578,1.58331488117411,2.22216609432155,1.10550654918584,2.06219818317044,1.01260318248028,0.0106938991894866,0.000283520252109028,0.00477351456824822,0.00910717402383718,0.0131820117251619,0,0,5.33778463370013e-05,0,0.0156187408849951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.0006944444444,41.9986111111111,42.8347222222222,26.3291666666667,14.3305555555556
"50","year1.C2066gn","2",704775.263259575,4769341.30258119,697865.943251563,4766943.52911703,NA,NA,NA,NA,NA,NA,7.31355047555945,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279.043055555556,13.6236111111111,NA,NA,NA
"51","year1.C2066gnA","3",698097.483153199,4767334.35460748,697656.195624709,4766158.69319842,696465.031762778,4766520.88057901,NA,NA,NA,NA,1.25575253595555,1.82390721723761,NA,NA,1.24501045964589,NA,NA,NA,NA,NA,0.0160569569533513,0.00081715635042852,NA,NA,0.00316315457787512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.475,67.6472222222222,18.9368055555556,NA,NA
"52","year1.C2071gn","3",725524.12810747,4774540.57790798,724719.210659015,4774562.60711438,725255.37117869,4773758.10044572,NA,NA,NA,NA,0.805218842776464,0.827345916591553,NA,NA,0.966798367173894,NA,NA,NA,NA,NA,0.0058364507641784,0.00267149124165964,NA,NA,0.00156758357072994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.5833333333333,53.0673611111111,52.0708333333333,NA,NA
"53","year1.C2084gy","3",705116.240784912,4772974.66983943,707870.481539965,4776250.8987275,706269.47542702,4773999.57619112,NA,NA,NA,NA,4.28013058957004,1.54284904299812,NA,NA,2.76254841342109,NA,NA,NA,NA,NA,0,0.0113499929220676,NA,NA,0.00032841883025916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.8708333333333,13.3729166666667,179.738888888889,NA,NA
"54","year1.C2085gy","2",705642.475071393,4766679.18152793,706136.831975679,4774125.07292658,NA,NA,NA,NA,NA,NA,7.46228433318421,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349.125,11.6256944444444,NA,NA,NA
